Entity,Code,Day,weekly_cases
0-19,,2020-03-21,0.0134813639968279
0-19,,2020-03-28,0.0660190325138779
0-19,,2020-04-04,0.130848532910389
0-19,,2020-04-11,0.119349722442506
0-19,,2020-04-18,0.136796193497224
0-19,,2020-04-25,0.124702616970658
0-19,,2020-05-02,0.0549167327517843
0-19,,2020-05-09,0.0178429817605075
0-19,,2020-05-16,0.00852498017446471
0-19,,2020-05-23,0.0077319587628866
0-19,,2020-05-30,0.0279540047581285
0-19,,2020-06-06,0.0461934972244251
0-19,,2020-06-13,0.0795003965107058
0-19,,2020-06-20,0.0824742268041237
0-19,,2020-06-27,0.157216494845361
0-19,,2020-07-04,0.30471847739889
0-19,,2020-07-11,0.484337827121332
0-19,,2020-07-18,0.64056304520222
0-19,,2020-07-25,0.711141950832673
0-19,,2020-08-01,0.676050753370341
0-19,,2020-08-08,0.622720063441713
0-19,,2020-08-15,0.583663758921491
0-19,,2020-08-22,0.556502775574941
0-19,,2020-08-29,0.64274385408406
0-19,,2020-09-05,1.02081681205393
0-19,,2020-09-12,1.68378271213323
0-19,,2020-09-19,2.22343378271213
0-19,,2020-09-26,2.65979381443299
0-19,,2020-10-03,2.24088025376685
0-19,,2020-10-10,1.62053925455987
0-19,,2020-10-17,0.82137192704203
0-19,,2020-10-24,0.431601903251388
0-19,,2020-10-31,0.256740681998414
0-19,,2020-11-07,0.239095955590801
0-19,,2020-11-14,0.249008723235527
0-19,,2020-11-21,0.269032513877875
0-19,,2020-11-28,0.340404440919905
0-19,,2020-12-05,0.48513084853291
0-19,,2020-12-12,0.652854877081681
0-19,,2020-12-19,1
0-19,,2020-12-26,1.57950039651071
0-19,,2021-01-02,2.49841395717684
0-19,,2021-01-09,3.61478984932593
0-19,,2021-01-16,4.40543219666931
0-19,,2021-01-23,3.92248215701824
0-19,,2021-01-30,3.70479777954005
0-19,,2021-02-06,3.80511498810468
0-19,,2021-02-13,2.97204599524187
0-19,,2021-02-20,2.07712133227597
